count   kilobytes
10      0.8272485977564102
20      1.1632862580128205
30      1.4993239182692308
40      1.835361578525641
50      2.171399238782051
60      2.5074368990384617
70      2.843474559294872
80      3.179512219551282
90      3.5155498798076925
100     3.8515875400641026
110     4.187625200320513
120     4.523662860576923
130     4.859700520833333
140     5.195738181089744
150     5.531775841346154
160     5.867813501602564
170     6.2038511618589745
180     6.539888822115385
190     6.875926482371795
200     7.211964142628205
210     7.548001802884615
220     7.8840394631410255
230     8.220077123397436
240     8.556114783653847
250     8.892152443910257
260     9.228190104166666
270     9.564227764423077
280     9.900265424679487
290     10.236303084935898
300     10.572340745192308
310     10.908378405448717
