count   kilobytes
194     7.259445121828837
388     14.027679306157674
582     20.795913490486512
776     27.56414767481535
970     34.332381859144185
1164    41.100616043473025
1358    47.868850227801865
1552    54.6370844121307
1746    61.40531859645954
1940    68.17355278078837
2134    74.94178696511722
2328    81.71002114944605
2522    88.47825533377488
2716    95.24648951810373
2910    102.01472370243256
3104    108.7829578867614
3298    115.55119207109024
3492    122.31942625541907
3686    129.0876604397479
3880    135.85589462407674
4074    142.6241288084056
4268    149.39236299273443
4462    156.16059717706327
4656    162.9288313613921
4850    169.69706554572093
5044    176.46529973004976
5238    183.23353391437863
5432    190.00176809870746
5626    196.7700022830363
5820    203.53823646736512
6014    210.30647065169396
6208    217.0747048360228
