count   kilobytes
36      1.7832331218003412
72      3.0752553061006824
108     4.367277490401024
144     5.659299674701365
180     6.951321859001706
216     8.243344043302049
252     9.535366227602388
288     10.82738841190273
324     12.119410596203071
360     13.411432780503413
396     14.703454964803754
432     15.995477149104095
468     17.287499333404437
504     18.579521517704777
540     19.87154370200512
576     21.16356588630546
612     22.455588070605803
648     23.747610254906142
684     25.039632439206486
720     26.331654623506825
756     27.62367680780717
792     28.915698992107508
828     30.20772117640785
864     31.49974336070819
900     32.79176554500853
936     34.083787729308874
972     35.37580991360922
1008    36.66783209790955
1044    37.959854282209896
1080    39.25187646651024
1116    40.54389865081058
1152    41.83592083511092
